sample-0	dc8408b2861e12618292b58dfa4fb551	01010,10101,01110,11111,11111	38	62	217
sample-1	9a79e2fee965907e2b9df462c0d65c0b	11011,00100,01010,11011,00100	217	94	38
sample-2	8f9448673d9d417d51d3ebafa175c8c7	01110,01010,10001,00100,00100	217	136	38
sample-3	067f652f7d3cf3e0c8906078f1aa2233	00100,11111,00000,00000,10101	217	150	38
sample-4	5816d968cb2b7c2f2269152aab347ab3	10001,01110,01010,11111,10001	74	38	217
sample-5	f4361364737bbc6eba8f98032b2e491a	00000,01110,01010,10101,10001	73	38	217
sample-6	a714e0736318127a16e7fd42fcf5573d	01110,10001,00000,11111,00100	192	38	217
sample-7	6578597a37e5f02982993b7b44a327d5	10101,00000,01010,10101,10001	85	217	38
sample-8	500eb2f2f6aeeb3eb34e1df228245a65	11011,10101,11111,00100,01010	38	207	217
sample-9	bfc3a4c1033e73080eeea7925517a829	01010,11011,00100,01010,10101	54	217	38
sample-10	fb4c5c19c743dfc5f7190d08d1d1bff4	11011,00000,00100,01110,10001	217	160	38
sample-11	f8f3f5d7cb5c2ea67ecac25a821fbf2c	00000,10101,10001,11011,10001	217	180	38
sample-12	1847cbbbc3868c037f39e7bf06951ce1	10001,10101,10101,11011,10101	38	217	122
sample-13	4db0dd49153afc7c2c2ccc47f17932a9	00100,11011,00000,10101,00000	217	137	38
sample-14	532596ad258bf560671b932d9e653a3f	11011,01010,00100,01010,10001	217	38	146
sample-15	a0c95ea75fa93694001289542c7d5e37	11111,01110,00100,10001,00000	160	38	217
sample-16	42705d24175c63efbf604052e1c8e883	00100,11111,11011,00100,10001	217	158	38
sample-17	5a0109fa9c8fa65160523114618a2d68	10001,00100,11111,10001,01110	217	141	38
sample-18	bc94f410b1446a9ac5b1479302aaa52d	11011,10101,11011,10101,00000	217	217	38
sample-19	2a7b2af4042e409395f4a7e4765ad9e5	11111,10101,11011,11011,01110	38	217	107
sample-20	8fffea6bb91c7753741d7665f895da32	01110,11011,00000,00000,00100	38	178	217
sample-21	d4752823553f76395c1944bce37718e2	01010,01110,00000,10001,00100	163	217	38
sample-22	6cfbf3f7b5540fd4b667b073c9779628	00100,10101,10001,00000,00000	38	119	217
sample-23	e9ac1ac544dce0b058b1125934ab5f45	01110,11011,10101,11111,01010	83	217	38
sample-24	120b6fef0775551fb5c06163b545711e	00000,01110,00100,01010,00100	42	217	38
sample-25	1fbd0551465c99516920faf81dc68484	00000,10001,00000,01010,01110	217	38	187
sample-26	270585110b9bd2afeb0e8105e38b8396	00100,00000,00100,11011,10101	158	217	38
sample-27	03472cd2af4374504c69f383b3df7e63	11111,00000,01110,11011,00100	136	217	38
sample-28	9090c851f195de0064b6db168465714d	01010,00100,00000,10101,10101	101	217	38
sample-29	36e29bfea4d5c7301d055f3af2a48f73	00000,00100,11111,01110,01010	217	215	38
sample-30	4fa91952ad1988e1937615db55bf27d4	00100,00000,11111,11011,10001	38	217	66
sample-31	819d7d131d25328a62ae318e043d516d	10101,00000,00000,10001,10001	111	217	38
sample-32	e3543b93126a4068bf512719d7615e30	10101,10001,10001,10101,11011	38	217	175
sample-33	59301564b19b6d36e129b8b3bf624cea	00000,01010,11011,00100,00000	217	38	79
sample-34	c6630781a2ac35b13410dab3106339a5	10101,11111,00100,01010,01110	217	64	38
sample-35	5fa69a4fd14a575e8d5784e76715806d	11011,11011,00100,00100,00000	38	217	155
sample-36	6b25773ee0bb5ab2a9f309a3e596172a	00100,00000,01110,11011,01010	38	217	55
sample-37	bbf8dcfe5b6466526b38feef890f3dce	11011,10001,11011,10101,00000	38	146	217
sample-38	1f50a9215dd70fd71f7fc1201eeb3f9c	00000,01010,10001,00100,00100	217	38	111
sample-39	3b1b2b58c23ca22c3ff08c07e477b33d	00000,10001,11011,11011,11111	96	217	38
sample-40	708bc81ea895722eca78ac4364ac42e9	01010,00100,01110,11011,11111	82	217	38
sample-41	20460de42062a8b79e0475c05338938d	10101,11111,11111,11111,01110	180	217	38
sample-42	47b955495ce77e7062bab4e6cb4a02ed	10101,01010,00000,10001,01010	80	38	217
sample-43	d32a1643adc50099794bf6908f98e8de	11011,01010,10101,11111,00000	217	38	65
sample-44	8025301f591c671ee75bc6f23b5b4ea1	01110,10101,10101,00000,00000	84	38	217
sample-45	ae7c0c2c899f01b63d8d755c6e8c0ee2	01110,01110,11011,01110,00100	217	38	136
sample-46	7f416196bf6bb49317a697f2071b9677	10001,00000,01110,10001,00100	38	217	157
sample-47	b43a13d981861360d49ba808a47c8ee6	10001,10101,00000,01110,10001	95	217	38
sample-48	ab01268e7a4f9e0a022fc6c6e836ece8	11111,01010,01110,10001,11111	38	202	217
sample-49	dd09bfb6ab08e92bf8c5db7faa8a5d2b	10001,10001,11111,01010,10001	38	47	217
sample-50	17206f17c92668a718c031ff3b75796a	10001,10001,10101,11111,10101	91	38	217
sample-51	b5f03c29cacf6d87a5d5046c1e8b475e	11011,01010,10001,01110,11011	217	38	136
sample-52	4772fface45eea5ad7d09125e2a000da	00100,11011,11011,11111,01010	217	214	38
sample-53	b55aaf0077807e9fd405356986cd2b2f	10001,11011,01010,10101,00100	38	217	137
sample-54	a412fadbc1d2210bc26756862cd52894	01110,10101,10001,01110,10001	183	38	217
sample-55	ae764d5c4166332c5e3c44b709d75ada	10101,10101,01010,01110,10101	38	94	217
sample-56	33d1781c3c636fb61401cb2d801698d6	11011,00000,11011,00000,01010	217	44	38
sample-57	11c10a5954ce0fa8144515952ae74e00	11011,10001,10101,00000,11111	54	38	217
sample-58	f21c0d591e0c124498f53d2aab0827e6	10001,10101,00000,10101,11111	63	38	217
sample-59	0b735d97d5d9a9b2a4ac730e624aaa16	00100,00000,10001,00000,00000	217	192	38
sample-60	49cfeaba29128f93f39f55b41589cd3b	01110,10001,11111,01010,00100	38	217	52
sample-61	7c94cf33c646c36801e9c57a6c6638b1	10001,10101,10001,01110,11111	154	38	217
sample-62	44d0deb8648e0d8da90683f3c73dc6aa	11111,10101,11011,01110,11011	38	217	166
sample-63	6e6f5dc75119eaf380fdded070c55864	00100,01110,10101,10001,00000	217	90	38
sample-64	e33797f38b693b61275504f4005a64bb	10101,00000,00000,01010,10001	217	62	38
sample-65	acc73ba6ecabbdad3e57baa34815d387	10101,01110,01110,01010,11011	38	211	217
sample-66	73dda84caa21063aa9a42dcd8f04a7cf	11011,01010,11011,11011,01110	217	38	104
sample-67	af55d03fe34b8d7ac7e8c75416f0dc05	11111,00000,10001,01010,00000	38	217	146
sample-68	c3cf3bbfb57fc51e30efc261c723929f	00100,00000,10101,00000,00000	38	217	159
sample-69	e403b89c1ba897d2f63f27b3425b8697	11111,10101,01110,00000,00000	217	196	38
sample-70	19b0602ec7ccd05b5d12c15f57caf186	11011,11011,01010,11111,00100	38	217	203
sample-71	150d0a1b918d3953bf280be9a4aea98d	11011,00000,00100,00000,00100	82	217	38
sample-72	f47861ac88667f32cba03b81f417b12e	10001,11111,01010,01110,01110	121	217	38
sample-73	cc4667ae04a1a5f8207235db9b3d4960	10101,01110,11111,01110,01110	77	38	217
sample-74	be6f6f4a29fda280ed54f465a32afa38	00000,01110,11111,11011,10101	183	217	38
sample-75	83165c3da011ca86008379c1671815cb	01110,00000,10001,11111,11011	38	217	156
sample-76	8b42e497a07927ff5fa99f618ca34087	01110,00000,10101,01110,01110	170	38	217
sample-77	ec4737d95addac85afe387bb309b5ae3	00100,00100,10101,10001,11011	217	79	38
sample-78	31db64e2513c583241df3d895eb4e835	01010,11011,01010,10001,00100	217	38	125
sample-79	8663a281676d6c38caf4c452b293352b	11111,01110,10101,11011,00100	217	211	38
sample-80	9206a7510b921564439237028d4aafc7	00000,10101,00100,01110,10101	214	38	217
sample-81	fa9249af4e32009b8910c3e25e2cc10e	00000,11111,10001,11111,01110	217	38	160
sample-82	adf4d0867caa959bbeb41b5f963921b0	11111,11011,01010,00100,01010	38	217	98
sample-83	59f5d095b671bfbb76944d5d3d5fcd3a	01010,00000,00000,00000,01010	217	38	214
sample-84	28110fb5b09d1fa0ba7445776de6b6b0	00100,00100,00000,00000,11111	217	38	179
sample-85	49acb8a7d9b4a36908c07f5c5f1b397d	01110,11011,10101,00100,10001	217	38	98
